Airfoil1
START	0.000000
4.14050440	14.92927535	-3.09151443
4.15918850	14.92831940	-3.04236868
4.19471500	14.92681868	-2.94451698
4.22942780	14.92509342	-2.84686224
4.26381076	14.92291938	-2.74926676
4.33209749	14.91699002	-2.55407816
4.40009872	14.90878284	-2.35877171
4.46779604	14.89830753	-2.16325454
4.53536844	14.88545929	-1.96751505
4.60279647	14.87021758	-1.77170903
4.67023431	14.85253208	-1.57532986
4.73753956	14.83240938	-1.37889306
4.80460682	14.80989985	-1.18218657
4.87154414	14.78492444	-0.98523843
4.93841093	14.75742884	-0.78807845
5.00527224	14.72735619	-0.59073298
5.07223792	14.69462703	-0.39325986
5.13953143	14.65910736	-0.19578671
5.20737104	14.62068397	0.00110405
5.27748944	14.57844015	0.19852184
5.34887566	14.53278353	0.39745567
5.41993362	14.48447239	0.59726636
5.45495767	14.45949814	0.69743819
5.48937051	14.43411114	0.79773416
END	0.000000
Airfoil11
START	0.000000
5.85011569	14.72509094	1.30711820
5.81108943	14.75300570	1.22128552
5.77198879	14.78040757	1.13546051
5.69388744	14.83369079	0.96343392
5.61655891	14.88490539	0.79036554
5.54059485	14.93407745	0.61524934
5.46760225	14.98078008	0.43812021
5.39724529	15.02483157	0.26038265
5.32885773	15.06640288	0.08192121
5.26227375	15.10551984	-0.09720204
5.19737121	15.14219866	-0.27691395
5.13410225	15.17644191	-0.45715376
5.07244388	15.20824928	-0.63787355
5.01249036	15.23759657	-0.81905299
4.95412352	15.26449486	-1.00046976
4.89730665	15.28897843	-1.18248522
4.84224471	15.31097373	-1.36470519
4.78911747	15.33044762	-1.54726579
4.73839689	15.34728965	-1.73022985
4.69056884	15.36138137	-1.91364951
4.66819476	15.36728713	-2.00560406
4.64733341	15.37231619	-2.09779402
4.62906110	15.37621213	-2.19035909
4.62197324	15.37748000	-2.23688894
4.62010501	15.37772260	-2.25557919
4.61962687	15.37772886	-2.26494568
4.62352007	15.37659649	-2.28321548
4.63567499	15.37398043	-2.26452896
4.63970496	15.37313947	-2.25554111
4.64715854	15.37158406	-2.23762034
4.66433982	15.36794875	-2.19291925
4.69682148	15.36075082	-2.10365557
4.72844273	15.35326537	-2.01445679
4.75969730	15.34537633	-1.92527397
4.82163833	15.32825785	-1.74688694
4.88319857	15.30925359	-1.56842694
4.94437685	15.28834776	-1.38982925
5.00535861	15.26548176	-1.21110700
5.06614215	15.24064746	-1.03238206
5.12684649	15.21377499	-0.85327856
5.18736807	15.18489555	-0.67418298
5.24758870	15.15400428	-0.49492130
5.30761220	15.12105888	-0.31552526
5.36749200	15.08602862	-0.13602226
5.42728528	15.04888175	0.04356288
5.48708955	15.00958124	0.22317838
5.54711148	14.96807617	0.40270923
5.60758255	14.92437536	0.58168502
5.66993378	14.87800528	0.76086215
5.73318399	14.82899218	0.94109852
5.79598609	14.77766718	1.12198932
5.82689308	14.75120331	1.21265136
5.85723457	14.72425766	1.30343095
END	0.000000
Airfoil12
START	0.000000
6.09187453	14.76183678	1.71132413
6.05648212	14.79726848	1.62556474
6.02106453	14.83220298	1.53977829
5.95031231	14.90036890	1.36781949
5.88001472	14.96581169	1.19495138
5.81044307	15.02809961	1.02038654
5.74256393	15.08606664	0.84431314
5.67629063	15.13995989	0.66788315
5.61120706	15.19026030	0.49094254
5.54721878	15.23708764	0.31353091
5.48425538	15.28053525	0.13570211
5.42229105	15.32064284	-0.04249412
5.36131470	15.35743107	-0.22101700
5.30138931	15.39082890	-0.39984041
5.24245031	15.42095305	-0.57878246
5.18444197	15.44779850	-0.75814661
5.12752592	15.47125042	-0.93758370
5.07180411	15.49116028	-1.11719194
5.01757599	15.50715876	-1.29698726
4.96514395	15.51887210	-1.47697373
4.93988925	15.52276395	-1.56706651
4.91558456	15.52496346	-1.65725067
4.89292056	15.52462395	-1.74756610
4.88290306	15.52265487	-1.79278657
4.87952605	15.52107259	-1.81087278
4.87813752	15.51991689	-1.81990193
4.87866791	15.51384315	-1.83722025
4.88902685	15.50727462	-1.81844918
4.89276981	15.50557234	-1.80950439
4.89983174	15.50263676	-1.79169797
4.91646701	15.49638404	-1.74735232
4.94838432	15.48506654	-1.65887857
4.97965625	15.47399962	-1.57050040
5.01063807	15.46277608	-1.48215144
5.07212530	15.43940697	-1.30546043
5.13326269	15.41447440	-1.12872884
5.19407219	15.38795584	-0.95191135
5.25468827	15.35967927	-0.77501331
5.31510840	15.32961255	-0.59814301
5.37544471	15.29768561	-0.42098035
5.43560301	15.26392193	-0.24386211
5.49551868	15.22841774	-0.06665334
5.55526024	15.19107385	0.11062260
5.61486058	15.15183413	0.28794329
5.67435438	15.11064104	0.46528897
5.73379770	15.06740867	0.64262103
5.79331057	15.02196918	0.81985622
5.85299378	14.97414254	0.99661524
5.91377799	14.92290261	1.17365629
5.97513953	14.86891340	1.35161592
6.03623341	14.81309328	1.53002709
6.06648315	14.78471752	1.61934575
6.09638965	14.75619768	1.70869497
END	0.000000
Airfoil13
START	0.000000
6.52514073	14.56738329	2.47646731
6.49196969	14.61135787	2.38770177
6.45879210	14.65481499	2.29887137
6.39239269	14.73984194	2.12070311
6.32595649	14.82166565	1.94148033
6.25936322	14.89963203	1.76035904
6.19306010	14.97196248	1.57772875
6.12733450	15.03905787	1.39489568
6.06196375	15.10166225	1.21160827
5.99691221	15.15997321	1.02789679
5.93215933	15.21413989	0.84381109
5.86770166	15.26423030	0.65940475
5.80353912	15.31028431	0.47472370
5.73969637	15.35221415	0.28981238
5.67619495	15.39018170	0.10486672
5.61291890	15.42418645	-0.08047537
5.55002594	15.45407185	-0.26577690
5.48752150	15.47963739	-0.45113019
5.42551151	15.50038342	-0.63649071
5.36410857	15.51579584	-0.82180088
5.33373760	15.52101388	-0.91440877
5.30369972	15.52405286	-1.00694872
5.27425181	15.52376587	-1.09932002
5.26001591	15.52123515	-1.14530873
5.25456453	15.51916489	-1.16356948
5.25195802	15.51764463	-1.17262032
5.24820007	15.50968200	-1.18919550
5.25647690	15.50113935	-1.16865790
5.25995682	15.49889434	-1.15919241
5.26673424	15.49500316	-1.14045154
5.28324687	15.48666147	-1.09402796
5.31570154	15.47148844	-1.00176098
5.34788262	15.45665003	-0.90978229
5.37994035	15.44164509	-0.81793375
5.44385450	15.41059627	-0.63444149
5.50762130	15.37777430	-0.45109720
5.57126421	15.34318422	-0.26784080
5.63483671	15.30662042	-0.08464784
5.69831102	15.26805821	0.09835703
5.76182915	15.22741025	0.28156716
5.82526289	15.18472263	0.46457385
5.88863377	15.14012967	0.64751805
5.95196822	15.09350453	0.83038720
6.01528013	15.04477401	1.01316177
6.07858528	14.99386086	1.19582557
6.14190331	14.94064278	1.37834490
6.20526677	14.88487780	1.56064836
6.26861727	14.82629476	1.74232355
6.33256556	14.76332758	1.92441884
6.39708516	14.69698481	2.10754201
6.46170099	14.62869030	2.29099443
6.49394975	14.59416049	2.38274315
6.52608794	14.55963457	2.47442889
END	0.000000
Airfoil14
START	0.000000
6.97542637	14.08682152	3.26909539
6.93933101	14.13050522	3.17014440
6.90277890	14.17284394	3.07109714
6.82896176	14.25405873	2.87298816
6.75500161	14.33140804	2.67517194
6.68220908	14.40580234	2.47851043
6.61124450	14.47875048	2.28218795
6.54062870	14.54965863	2.08488074
6.47025706	14.61801950	1.88714215
6.39996725	14.68362063	1.68907728
6.32967701	14.74638288	1.49073756
6.25933534	14.80628077	1.29214895
6.18889602	14.86329039	1.09334160
6.11827504	14.91735040	0.89433714
6.04752798	14.96869378	0.69494235
5.97681684	15.01718814	0.49570708
5.90596493	15.06301855	0.29610295
5.83500065	15.10614671	0.09629722
5.76378105	15.14646662	-0.10374009
5.69230700	15.18406278	-0.30409607
5.65636606	15.20176299	-0.40445664
5.62015075	15.21862656	-0.50502153
5.58327200	15.23433482	-0.60599764
5.56409284	15.24133523	-0.65687338
5.55595867	15.24369446	-0.67744382
5.55164893	15.24465948	-0.68784966
5.53971978	15.24395962	-0.71063718
5.53878298	15.23287536	-0.69256175
5.54028128	15.22901929	-0.68261039
